user_id,interests,skills,interest_weights,skill_weights,experience_level,preferred_language,region,preferred_formats,freshness_preference,breaking_affinity,source_loyalty_weights,onboarding_completed_at
user_0000,ai|design|science,data_literacy|design_thinking|python,"{""ai"":0.7576,""design"":1.4277,""science"":1.2226}","{""data_literacy"":1.3086,""design_thinking"":0.6381,""python"":0.7124}",junior,en,APAC,analysis|newsletter,1.117,0.9862,"{""Campus Pulse"":1.0891,""Global Science Desk"":1.3847,""Policy Radar"":1.3294,""Startup Signal"":1.0298}",2025-12-08T02:00:00
user_0001,climate|mobile|web,figma|git|prompt_engineering|sql,"{""climate"":1.4975,""mobile"":1.4162,""web"":1.213}","{""figma"":1.7677,""git"":1.0542,""prompt_engineering"":1.2624,""sql"":1.5953}",mid,ru,LATAM,briefing|newsletter,1.4256,0.8883,"{""Global Science Desk"":1.3777,""Lab Chronicle"":1.3832,""Policy Radar"":1.1401,""TechWire"":1.1767}",2026-02-16T15:00:00
user_0002,climate|research|robotics|science|startups,design_thinking|machine_learning|python,"{""climate"":0.8216,""research"":1.0484,""robotics"":1.689,""science"":1.322,""startups"":1.2348}","{""design_thinking"":1.4215,""machine_learning"":1.6114,""python"":1.5312}",mid,en,US,briefing|explainer|live_blog,1.4859,1.14,"{""Builder Weekly"":1.2777,""Campus Pulse"":1.1478}",2026-02-26T05:00:00
user_0003,mobile|research|science|startups|web,data_literacy|design_thinking|leadership|machine_learning,"{""mobile"":0.7455,""research"":0.6995,""science"":0.7651,""startups"":1.3088,""web"":1.4817}","{""data_literacy"":1.1066,""design_thinking"":0.6762,""leadership"":1.0579,""machine_learning"":1.7953}",newcomer,en,APAC,briefing|live_blog,1.5289,1.3977,"{""Builder Weekly"":1.0291,""Lab Chronicle"":0.9516,""Policy Radar"":1.311,""TechWire"":1.3098}",2025-11-23T16:00:00
user_0004,data|product|research|robotics|web,data_literacy|git|react,"{""data"":1.2163,""product"":1.4676,""research"":1.2069,""robotics"":0.6506,""web"":0.9904}","{""data_literacy"":0.6234,""git"":1.7149,""react"":1.6545}",junior,es,LATAM,analysis|briefing,1.2948,1.5548,"{""Builder Weekly"":1.358,""Campus Pulse"":1.439,""Policy Radar"":1.2164,""TechWire"":1.0129}",2026-02-09T20:00:00
user_0005,data|design|mobile|product|science|web,critical_thinking|leadership|machine_learning|sql,"{""data"":0.9103,""design"":0.7172,""mobile"":0.6721,""product"":1.2316,""science"":1.2679,""web"":0.6576}","{""critical_thinking"":1.4494,""leadership"":0.6706,""machine_learning"":0.6809,""sql"":0.6377}",senior,en,APAC,explainer|live_blog,1.1545,1.4169,"{""Builder Weekly"":1.4178,""Lab Chronicle"":1.2355}",2026-02-19T09:00:00
user_0006,fintech|mobile|robotics,analytics|critical_thinking|javascript|leadership|python,"{""fintech"":0.7136,""mobile"":1.4146,""robotics"":1.4906}","{""analytics"":0.7311,""critical_thinking"":0.8299,""javascript"":1.2435,""leadership"":0.7682,""python"":0.8202}",senior,en,US,briefing|explainer|newsletter,0.9235,0.7518,"{""Builder Weekly"":1.1532,""Campus Pulse"":1.1907,""Security Brief"":1.3823,""TechWire"":1.4012}",2026-02-09T22:00:00
user_0007,mobile|policy|product|science|startups,design_thinking|figma|sql,"{""mobile"":1.6671,""policy"":1.2581,""product"":1.2193,""science"":1.4354,""startups"":0.71}","{""design_thinking"":1.301,""figma"":1.2034,""sql"":1.6233}",mid,en,APAC,analysis|briefing,1.2645,1.1063,"{""Builder Weekly"":1.0099,""Campus Pulse"":1.3951,""Policy Radar"":1.0731,""Security Brief"":1.2473}",2026-02-10T06:00:00
user_0008,cybersecurity|data|design|mobile|startups,analytics|critical_thinking|git|leadership|react,"{""cybersecurity"":1.3022,""data"":1.2411,""design"":0.755,""mobile"":1.2145,""startups"":1.1812}","{""analytics"":0.7589,""critical_thinking"":1.0188,""git"":0.6825,""leadership"":0.8931,""react"":0.942}",mid,en,APAC,briefing|live_blog|newsletter,1.0113,0.929,"{""Builder Weekly"":1.0822,""Campus Pulse"":1.3949,""Startup Signal"":1.3212,""TechWire"":1.0277}",2026-02-16T15:00:00
user_0009,ai|climate|design|policy|product,analytics|figma|git|python|sql,"{""ai"":1.4597,""climate"":1.319,""design"":0.9251,""policy"":1.4283,""product"":1.2293}","{""analytics"":1.1132,""figma"":0.6116,""git"":0.6903,""python"":1.6597,""sql"":1.6847}",junior,en,LATAM,analysis|explainer,1.4455,1.5141,"{""Lab Chronicle"":1.3995,""Startup Signal"":1.3481}",2025-12-18T05:00:00
