user_id,project_id,topic_match_score,required_skill_match_score,gained_skill_match_score,role_skill_match_score,readiness_score,embedding_similarity,commitment_fit,maturity_fit,open,like,share,long_view,skip_fast,disengage
user_0000,project_0000,1.2828,1.8785,1.4361,1.1004,1.7458,0.933852,0.95,0.95,0,0,0,0,0,0
user_0000,project_0001,1.4329,2.5365,0.0,1.4361,1.7755,0.986811,0.95,0.95,0,0,0,0,0,0
user_0000,project_0002,1.2828,1.4361,0.0,1.4361,1.0053,0.924671,0.6,0.65,0,0,0,0,0,0
user_0000,project_0003,0.0,1.1004,0.7781,1.1004,1.0037,0.93165,0.9,0.95,0,0,0,0,0,0
user_0000,project_0004,1.2828,1.1004,1.4361,1.1004,1.2011,0.944271,0.9,0.95,0,1,0,1,0,0
user_0000,project_0005,1.2828,0.0,0.0,0.0,0.0,0.924186,0.95,0.95,0,0,0,0,0,0
user_0000,project_0006,1.2828,1.4361,0.0,1.4361,1.0053,0.938616,0.95,0.95,1,0,1,1,1,0
user_0000,project_0007,1.2828,1.8785,1.4361,1.8785,1.7458,0.926938,0.6,0.65,1,0,1,1,1,0
user_0000,project_0008,1.2828,2.5365,0.0,1.4361,1.7755,0.944469,0.95,0.95,0,0,0,0,0,0
user_0000,project_0009,2.7157,0.0,1.4361,0.0,0.4308,0.925446,0.95,0.95,0,0,0,0,0,0
user_0000,project_0010,0.0,1.1004,1.4361,2.5365,1.2011,0.932958,0.9,0.95,0,0,0,0,0,0
user_0000,project_0011,0.0,2.5365,0.7781,1.4361,2.009,0.927741,0.6,0.65,0,0,0,0,0,0
user_0000,project_0012,1.2828,1.8785,1.4361,1.1004,1.7458,0.931441,0.95,0.95,1,1,0,1,0,0
user_0000,project_0013,1.4329,2.5365,0.0,1.4361,1.7755,0.990698,0.95,0.95,0,0,0,0,0,0
user_0000,project_0014,1.2828,1.4361,0.0,1.4361,1.0053,0.928515,0.6,0.65,0,0,0,0,1,0
user_0000,project_0015,0.0,1.1004,0.7781,1.1004,1.0037,0.934388,0.9,0.95,0,0,0,0,0,0
user_0000,project_0016,1.2828,1.1004,1.4361,1.1004,1.2011,0.944897,0.9,0.95,1,0,0,0,0,0
user_0000,project_0017,1.2828,0.0,0.0,0.0,0.0,0.918978,0.95,0.95,0,1,0,0,0,0
user_0000,project_0018,1.2828,1.4361,0.0,1.4361,1.0053,0.93612,0.95,0.95,0,0,0,0,0,0
user_0000,project_0019,1.2828,1.8785,1.4361,1.8785,1.7458,0.933261,0.6,0.65,1,0,1,1,0,0
user_0000,project_0020,1.2828,2.5365,0.0,1.4361,1.7755,0.948878,0.95,0.95,1,1,0,1,0,0
user_0000,project_0021,2.7157,0.0,1.4361,0.0,0.4308,0.924495,0.95,0.95,0,0,0,0,0,0
user_0000,project_0022,0.0,1.1004,1.4361,2.5365,1.2011,0.9331,0.9,0.95,0,0,0,0,0,0
