project_id,skill_name,skill_type,importance_weight
project_0000,python,required,1.0
project_0000,machine_learning,required,1.0
project_0000,prompt_engineering,required,1.0
project_0000,python,role,0.85
project_0000,react,role,0.85
project_0000,design_thinking,role,0.85
project_0000,analytics,gained,0.55
project_0000,git,gained,0.55
project_0000,sql,gained,0.55
project_0001,python,required,1.0
project_0001,sql,required,1.0
project_0001,analytics,required,1.0
project_0001,analytics,role,0.85
project_0001,react,role,0.85
project_0001,public_speaking,role,0.85
project_0001,react,gained,0.55
project_0001,design_thinking,gained,0.55
project_0001,leadership,gained,0.55
project_0002,javascript,required,1.0
project_0002,react,required,1.0
project_0002,analytics,required,1.0
project_0002,react,role,0.85
project_0002,analytics,role,0.85
project_0002,figma,role,0.85
project_0002,sql,gained,0.55
project_0002,leadership,gained,0.55
project_0002,design_thinking,gained,0.55
project_0003,python,required,1.0
project_0003,machine_learning,required,1.0
project_0003,git,required,1.0
project_0003,python,role,0.85
project_0003,machine_learning,role,0.85
project_0003,react,role,0.85
project_0003,leadership,gained,0.55
project_0003,prompt_engineering,gained,0.55
project_0003,public_speaking,gained,0.55
project_0004,python,required,1.0
project_0004,javascript,required,1.0
project_0004,sql,required,1.0
project_0004,python,role,0.85
project_0004,javascript,role,0.85
project_0004,design_thinking,role,0.85
project_0004,analytics,gained,0.55
project_0004,git,gained,0.55
project_0004,leadership,gained,0.55
project_0005,figma,required,1.0
project_0005,design_thinking,required,1.0
project_0005,javascript,required,1.0
project_0005,figma,role,0.85
project_0005,react,role,0.85
project_0005,design_thinking,role,0.85
project_0005,react,gained,0.55
project_0005,leadership,gained,0.55
project_0005,public_speaking,gained,0.55
project_0006,sql,required,1.0
project_0006,javascript,required,1.0
project_0006,analytics,required,1.0
project_0006,analytics,role,0.85
project_0006,sql,role,0.85
project_0006,react,role,0.85
project_0006,react,gained,0.55
project_0006,leadership,gained,0.55
project_0006,git,gained,0.55
project_0007,prompt_engineering,required,1.0
project_0007,python,required,1.0
project_0007,design_thinking,required,1.0
project_0007,prompt_engineering,role,0.85
project_0007,python,role,0.85
project_0007,figma,role,0.85
project_0007,analytics,gained,0.55
project_0007,leadership,gained,0.55
project_0007,public_speaking,gained,0.55
project_0008,sql,required,1.0
project_0008,analytics,required,1.0
project_0008,python,required,1.0
project_0008,sql,role,0.85
project_0008,analytics,role,0.85
project_0008,javascript,role,0.85
project_0008,javascript,gained,0.55
project_0008,react,gained,0.55
project_0008,leadership,gained,0.55
project_0009,react,required,1.0
project_0009,javascript,required,1.0
project_0009,leadership,required,1.0
project_0009,react,role,0.85
project_0009,leadership,role,0.85
project_0009,figma,role,0.85
project_0009,analytics,gained,0.55
project_0009,public_speaking,gained,0.55
project_0009,git,gained,0.55
project_0010,python,required,1.0
project_0010,machine_learning,required,1.0
project_0010,sql,required,1.0
project_0010,python,role,0.85
project_0010,machine_learning,role,0.85
project_0010,analytics,role,0.85
project_0010,analytics,gained,0.55
project_0010,git,gained,0.55
project_0010,leadership,gained,0.55
project_0011,analytics,required,1.0
project_0011,python,required,1.0
project_0011,public_speaking,required,1.0
project_0011,analytics,role,0.85
project_0011,design_thinking,role,0.85
project_0011,public_speaking,role,0.85
project_0011,prompt_engineering,gained,0.55
project_0011,leadership,gained,0.55
project_0011,sql,gained,0.55
project_0012,python,required,1.0
project_0012,machine_learning,required,1.0
project_0012,prompt_engineering,required,1.0
project_0012,python,role,0.85
project_0012,react,role,0.85
project_0012,design_thinking,role,0.85
project_0012,analytics,gained,0.55
project_0012,git,gained,0.55
project_0012,sql,gained,0.55
project_0013,python,required,1.0
project_0013,sql,required,1.0
project_0013,analytics,required,1.0
project_0013,analytics,role,0.85
project_0013,react,role,0.85
project_0013,public_speaking,role,0.85
project_0013,react,gained,0.55
project_0013,design_thinking,gained,0.55
