skill_name,skill_type,project_count,avg_importance
leadership,gained,100,0.55
python,required,80,1.0
react,role,70,0.85
analytics,role,60,0.85
analytics,gained,50,0.55
analytics,required,50,1.0
git,gained,50,0.55
javascript,required,50,1.0
python,role,50,0.85
sql,required,50,1.0
design_thinking,role,40,0.85
figma,role,40,0.85
public_speaking,gained,40,0.55
react,gained,40,0.55
machine_learning,required,30,1.0
sql,gained,30,0.55
design_thinking,gained,20,0.55
design_thinking,required,20,1.0
javascript,role,20,0.85
machine_learning,role,20,0.85
prompt_engineering,gained,20,0.55
prompt_engineering,required,20,1.0
public_speaking,role,20,0.85
react,required,20,1.0
sql,role,20,0.85
figma,required,10,1.0
git,required,10,1.0
javascript,gained,10,0.55
leadership,required,10,1.0
leadership,role,10,0.85
prompt_engineering,role,10,0.85
public_speaking,required,10,1.0
