user_id,project_id,shown_at,session_depth,topic_match_score,required_skill_match_score,gained_skill_match_score,role_skill_match_score,readiness_score,open,like,share,long_view,skip_fast,disengage
user_0043,project_0076,2026-02-05T03:43:05.080920+00:00,37,0.0,1.5804,0.0,2.5611,1.1063,0,1,0,0,0,1
user_0056,project_0044,2026-02-05T03:47:05.080920+00:00,41,1.0781,0.9924,1.5707,0.0,1.1659,1,0,1,1,0,0
user_0298,project_0070,2026-02-05T03:51:05.080920+00:00,37,1.1627,2.3652,0.9518,1.5895,1.9412,0,1,1,1,0,0
user_0209,project_0030,2026-02-05T03:51:05.080920+00:00,23,1.3255,1.7932,1.4545,0.9266,1.6916,1,0,1,0,0,0
user_0117,project_0104,2026-02-05T03:57:05.080920+00:00,2,0.0,2.1599,1.0713,1.1651,1.8333,0,1,0,1,1,0
user_0047,project_0104,2026-02-05T04:06:05.080920+00:00,30,1.3354,1.5239,0.9037,0.0,1.3378,1,0,1,0,0,1
user_0243,project_0042,2026-02-05T04:15:05.080920+00:00,32,1.2395,2.1061,1.2176,2.2243,1.8395,1,1,1,1,1,0
user_0127,project_0114,2026-02-05T04:31:05.080920+00:00,22,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0
user_0011,project_0070,2026-02-05T04:38:05.080920+00:00,33,0.8573,2.2738,0.0,2.2738,1.5917,1,1,1,0,1,0
user_0170,project_0083,2026-02-05T04:42:05.080920+00:00,34,0.0,0.9072,0.0,0.9072,0.635,0,1,0,0,0,0
user_0055,project_0071,2026-02-05T04:56:05.080920+00:00,4,0.0,0.8136,1.6032,0.7757,1.0505,0,1,0,1,0,0
user_0157,project_0033,2026-02-05T05:01:05.080920+00:00,2,1.375,0.9841,1.11,1.205,1.0219,0,1,0,1,0,1
user_0215,project_0079,2026-02-05T05:05:05.080920+00:00,17,1.3071,1.5065,0.839,1.5065,1.3062,1,1,1,1,1,0
user_0131,project_0040,2026-02-05T05:10:05.080920+00:00,15,2.0856,0.7436,1.3538,1.7326,0.9267,0,1,1,0,0,0
user_0202,project_0086,2026-02-05T05:12:05.080920+00:00,17,0.7504,0.0,0.0,0.0,0.0,0,0,0,0,0,0
user_0017,project_0047,2026-02-05T05:15:05.080920+00:00,39,1.0196,1.1279,1.0164,2.1948,1.0944,1,0,0,1,1,0
user_0016,project_0089,2026-02-05T05:21:05.080920+00:00,43,0.7845,0.0,0.7517,0.0,0.2255,0,0,1,0,0,1
user_0236,project_0020,2026-02-05T05:22:05.080920+00:00,23,1.2605,0.9597,0.0,0.9597,0.6718,0,0,1,0,1,0
user_0226,project_0109,2026-02-05T05:26:05.080920+00:00,35,0.0,0.0,1.5599,1.2361,0.468,0,0,0,1,1,0
user_0077,project_0022,2026-02-05T05:29:05.080920+00:00,15,1.4131,0.0,0.0,0.0,0.0,0,0,0,1,0,1
user_0033,project_0109,2026-02-05T05:35:05.080920+00:00,18,0.0,1.5023,0.0,1.6691,1.0516,1,0,0,1,0,1
user_0166,project_0060,2026-02-05T05:36:05.080920+00:00,17,0.0,0.0,1.6367,0.0,0.491,0,1,0,1,0,1
user_0194,project_0094,2026-02-05T05:37:05.080920+00:00,1,1.2032,1.091,0.7851,1.8761,0.9992,0,1,1,0,1,0
user_0041,project_0043,2026-02-05T05:50:05.080920+00:00,29,1.207,0.0,1.1627,0.0,0.3488,0,1,0,0,1,0
user_0290,project_0042,2026-02-05T05:51:05.080920+00:00,20,2.7316,1.0849,0.0,1.0849,0.7594,0,1,0,1,0,0
user_0118,project_0019,2026-02-05T06:05:05.080920+00:00,14,1.9856,3.1303,0.0,1.4927,2.1912,1,1,1,1,0,0
user_0022,project_0049,2026-02-05T06:06:05.080920+00:00,33,1.1371,0.0,0.0,0.0,0.0,1,0,0,0,1,1
user_0090,project_0113,2026-02-05T06:14:05.080920+00:00,44,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
user_0070,project_0045,2026-02-05T06:16:05.080920+00:00,40,1.9408,0.0,0.7847,0.0,0.2354,0,1,0,0,0,0
user_0122,project_0054,2026-02-05T06:20:05.080920+00:00,10,0.0,1.0352,0.8429,1.0352,0.9775,0,1,1,1,0,1
user_0238,project_0063,2026-02-05T06:24:05.080920+00:00,19,1.3556,1.537,2.4834,1.537,1.8209,0,1,1,1,0,0
user_0196,project_0077,2026-02-05T06:29:05.080920+00:00,44,1.3188,1.1659,0.9017,1.1659,1.0866,0,0,1,0,0,0
user_0245,project_0095,2026-02-05T06:42:05.080920+00:00,16,1.2526,0.9903,1.4502,0.9903,1.1283,0,1,1,1,0,0
user_0048,project_0088,2026-02-05T06:43:05.080920+00:00,29,1.0356,1.3326,0.7441,0.0,1.1561,1,0,1,0,0,0
user_0184,project_0042,2026-02-05T06:43:05.080920+00:00,5,0.0,0.7126,0.6536,0.7126,0.6949,1,0,1,1,0,1
user_0029,project_0019,2026-02-05T06:51:05.080920+00:00,8,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1
user_0197,project_0115,2026-02-05T06:59:05.080920+00:00,37,0.7901,0.0,1.5108,0.0,0.4532,1,0,1,1,0,0
user_0001,project_0014,2026-02-05T07:00:05.080920+00:00,3,0.9982,0.0,1.5431,0.0,0.4629,1,0,1,0,1,0
user_0092,project_0113,2026-02-05T07:09:05.080920+00:00,19,1.0148,2.3482,0.6543,1.4851,1.84,1,1,1,0,0,0
user_0259,project_0028,2026-02-05T07:17:05.080920+00:00,30,1.0714,0.8915,1.5145,2.3319,1.0784,1,0,0,0,0,0
user_0014,project_0064,2026-02-05T07:26:05.080920+00:00,20,1.3574,2.3645,1.0242,2.3645,1.9624,0,0,1,1,1,0
user_0215,project_0113,2026-02-05T07:34:05.080920+00:00,43,2.2049,0.0,0.0,0.0,0.0,0,0,0,1,0,1
user_0213,project_0106,2026-02-05T07:41:05.080920+00:00,15,1.229,1.3201,0.8031,0.0,1.165,1,0,0,1,0,0
user_0074,project_0067,2026-02-05T07:53:05.080920+00:00,16,0.7686,2.9654,2.0965,3.6209,2.7047,1,1,1,1,0,0
user_0090,project_0049,2026-02-05T08:08:05.080920+00:00,24,2.8074,1.9698,0.0,1.0517,1.3789,1,1,1,0,0,0
user_0041,project_0111,2026-02-05T08:09:05.080920+00:00,36,1.4187,1.083,0.0,1.6098,0.7581,0,0,0,1,0,0
user_0148,project_0105,2026-02-05T08:13:05.080920+00:00,28,1.9874,0.0,1.6456,0.0,0.4937,0,0,1,0,1,0
user_0159,project_0020,2026-02-05T08:17:05.080920+00:00,11,0.0,1.9144,0.7852,1.0047,1.5756,0,1,1,1,1,0
user_0130,project_0065,2026-02-05T08:18:05.080920+00:00,34,0.0,1.1084,0.0,1.1084,0.7759,1,0,0,1,1,1
user_0043,project_0098,2026-02-05T08:25:05.080920+00:00,44,0.0,2.942,0.9807,1.3616,2.3536,0,0,0,1,1,0
user_0157,project_0002,2026-02-05T08:27:05.080920+00:00,1,2.4004,0.9841,0.9488,1.205,0.9735,1,0,0,1,0,0
user_0173,project_0074,2026-02-05T08:33:05.080920+00:00,14,0.9551,0.0,1.5393,0.0,0.4618,0,1,1,1,0,1
user_0068,project_0093,2026-02-05T08:36:05.080920+00:00,9,1.2474,0.0,0.6995,0.6766,0.2099,1,0,0,0,0,0
user_0085,project_0013,2026-02-05T08:38:05.080920+00:00,35,1.2203,0.0,4.1478,1.4621,1.2443,0,1,0,0,0,0
user_0121,project_0089,2026-02-05T08:46:05.080920+00:00,44,0.0,0.0,0.9915,0.0,0.2974,1,1,1,1,1,1
user_0251,project_0048,2026-02-05T08:54:05.080920+00:00,5,1.364,1.306,1.4823,2.1389,1.3589,0,1,1,1,0,0
user_0252,project_0096,2026-02-05T08:55:05.080920+00:00,8,1.0827,1.082,0.0,2.1728,0.7574,1,1,0,1,1,1
user_0143,project_0032,2026-02-05T09:03:05.080920+00:00,29,0.9868,0.0,1.0333,0.0,0.31,1,0,1,1,1,0
user_0122,project_0029,2026-02-05T09:10:05.080920+00:00,2,0.0,0.0,0.0,0.0,0.0,1,1,0,1,0,1
user_0175,project_0119,2026-02-05T09:12:05.080920+00:00,13,0.0,1.6254,1.3995,0.0,1.5576,1,0,0,1,1,0
user_0238,project_0095,2026-02-05T09:13:05.080920+00:00,18,0.0,0.0,2.4834,1.1335,0.745,0,0,0,1,1,0
user_0055,project_0095,2026-02-05T09:22:05.080920+00:00,14,0.0,0.8136,1.6032,0.7757,1.0505,1,0,0,1,1,1
user_0290,project_0070,2026-02-05T09:25:05.080920+00:00,16,0.0,3.6291,0.0,2.5442,2.5404,1,1,1,0,0,0
user_0286,project_0110,2026-02-05T09:29:05.080920+00:00,20,0.9095,0.0,1.3918,0.8879,0.4175,0,0,0,1,0,1
user_0220,project_0046,2026-02-05T09:41:05.080920+00:00,42,2.3162,3.8378,1.195,3.7584,3.045,1,1,0,1,0,0
user_0230,project_0113,2026-02-05T09:43:05.080920+00:00,20,2.7248,1.9869,0.0,1.9869,1.3908,1,1,1,1,0,0
user_0047,project_0059,2026-02-05T09:46:05.080920+00:00,28,1.3354,1.5239,0.0,0.8813,1.0667,0,0,0,1,0,0
user_0089,project_0022,2026-02-05T09:55:05.080920+00:00,37,1.3728,0.6658,0.0,0.6658,0.4661,0,0,1,0,0,0
user_0081,project_0061,2026-02-05T09:59:05.080920+00:00,37,1.1786,0.6852,0.8075,0.8075,0.7219,1,0,1,1,0,0
user_0284,project_0101,2026-02-05T10:00:05.080920+00:00,39,2.5946,0.0,1.0579,0.0,0.3174,1,0,1,0,1,1
user_0167,project_0031,2026-02-05T10:00:05.080920+00:00,38,0.7903,1.3544,1.3235,0.0,1.3451,1,0,0,0,1,1
user_0218,project_0030,2026-02-05T10:02:05.080920+00:00,33,0.0,0.0,0.9748,0.9748,0.2924,0,0,1,0,1,1
user_0257,project_0049,2026-02-05T10:03:05.080920+00:00,33,0.0,2.6702,2.9342,1.4922,2.7494,0,1,1,1,0,0
user_0152,project_0088,2026-02-05T10:17:05.080920+00:00,26,0.0,1.2249,2.215,2.6978,1.5219,1,0,1,1,0,0
user_0137,project_0039,2026-02-05T10:20:05.080920+00:00,8,2.4072,0.8006,0.8875,0.8006,0.8267,1,1,0,1,0,1
user_0203,project_0032,2026-02-05T10:29:05.080920+00:00,30,1.0167,0.0,2.2462,0.0,0.6739,1,0,1,1,0,1
user_0122,project_0041,2026-02-05T10:32:05.080920+00:00,32,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
